,trace_number,date_time,experimenter,protocol,cell_type,stim_type,V_baseline,LED_wavelenght,LED_time_ms,LED_power_mWmm,response_type_LED,spike_per_LED_stim,spike_freq_LED,subthresh_per_LED_stim,Max_V_response_mV,total_V_deflection_from_baseline_mV,Steady_state_V_deflection_mV,Time_to_peak_response_ms,deactivation_time_ms,voltage_points_plot,LED_points_plot
0,2019_02_25_0035,2019-02-25 15:35:56.708,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797,520,1000.0,2.91,Spike,2,512.8205128205129,0,37.78076171875,102.96873474121094,17.672104,1.4,200.7472316999952,[-65.033  -65.4907 -64.9719 ... -64.1785 -63.8123 -64.1174],[-0.0009 -0.0009 -0.0012 ... -0.0015 -0.0015 -0.0012]
1,2019_02_25_0035,2019-02-25 15:35:56.708,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797,520,1000.0,10.58,sub_thresh_event,0,,1,-36.376953125,28.811019897460938,17.763657,15.25,179.18373846665318,[-64.9414 -65.0024 -64.9719 ... -63.9954 -64.1785 -64.1174],[-0.0006 -0.0009 -0.0012 ... -0.0009 -0.0015 -0.0015]
2,2019_02_25_0035,2019-02-25 15:35:56.708,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797,520,1000.0,19.77,Spike,1,,0,31.67724609375,96.86521911621094,17.45848,2.9,177.30225609212266,[-65.033  -65.1245 -65.3381 ... -64.0869 -63.9954 -63.8123],[-0.0012 -0.0012 -0.0015 ... -0.0009 -0.0012 -0.0015]
3,2019_02_25_0035,2019-02-25 15:35:56.708,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797,520,1000.0,29.07,Spike,1,,0,28.25927734375,93.44725036621094,17.397446,2.2,165.4450176907998,[-65.155  -64.9719 -65.094  ... -64.3921 -64.6057 -64.3311],[-0.0015 -0.0009 -0.0006 ... -0.0012 -0.0015 -0.0015]
